,State,Agency_Type,Agency_Name,Population,Total_Offenses,Crimes_Against_Persons,Crimes_Against_Property,Crimes_Against_Society,Crimes_Against_Persons,Aggravated_Assault,Simple_Assault,Intimidation,Homicide_Offenses,Murder_and_Nonnegligent_Manslaughter,Negligent_Manslaughter,Justifiable_Homicide,Kidnapping__Abduction,Sex_Offenses,Rape,Sodomy,Sexual_Assault_With_An_Object,Fondling,"Sex_Offenses,_Nonforcible",Incest,Statutory_Rape,Arson,Bribery,Burglary__Breaking_&_Entering,Counterfeiting__Forgery,Destruction__Damage__Vandalism,Embezzlement,Extortion__Blackmail,Fraud_Offenses,False_Pretenses__Swindle__Confidence_Game,Credit_Card__Automated_Teller_Machine_Fraud,Impersonation,Welfare_Fraud,Wire_Fraud,LarcenyTheft_Offenses,Pocketpicking,Pursesnatching,Shoplifting,Theft_From_Building,Theft_From_Coinoperated_Machine,Theft_From_Motor_Vehicle,Theft_of_Motor_Vehicle_Parts_or_Accessories,All_Other_Larceny,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses_,Drug__Narcotic_Offenses,Drug__Narcotic_Violations,Drug_Equipment_Violations,Gambling_Offenses,Betting__Wagering,Operating__Promoting__Assisting_Gambling,Gambling_Equipment_Violations,Sports_Tampering,Pornography__Obscene_Material,Prostitution_Offenses,Prostitution,Assisting_or_Promoting_Prostitution,Weapon_Law_Violations,Region
37,Arkansas,Cities,Corning,3348.0,146.0,26.0,77.0,43.0,26,2.0,16.0,8.0,,,,,,,,,,,,,,,,22.0,3.0,16.0,,,3.0,,1.0,2.0,,,29.0,,,7.0,7.0,,1.0,,14.0,2.0,1.0,1.0,41.0,33.0,8.0,,,,,,,,,,2.0,South Central (West)
38,Arkansas,Cities,Crossett,5487.0,659.0,82.0,540.0,37.0,79,13.0,61.0,5.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,4.0,,117.0,9.0,112.0,,,29.0,14.0,14.0,1.0,,,256.0,,,48.0,,,1.0,,207.0,5.0,6.0,2.0,28.0,27.0,1.0,,,,,,,,,,9.0,South Central (West)
39,Arkansas,Cities,Danville,2405.0,62.0,20.0,29.0,13.0,19,1.0,14.0,4.0,1.0,,1.0,,,,,,,,,,,,,6.0,3.0,3.0,,,1.0,1.0,,,,,14.0,,,2.0,1.0,,4.0,,7.0,1.0,,1.0,12.0,12.0,,,,,,,,,,,1.0,South Central (West)
40,Arkansas,Cities,Dardanelle,4738.0,421.0,119.0,289.0,13.0,112,19.0,64.0,29.0,,,,,,7.0,3.0,,,4.0,,,,,,98.0,18.0,38.0,,,19.0,9.0,8.0,2.0,,,102.0,,1.0,1.0,6.0,,9.0,,85.0,3.0,6.0,5.0,9.0,9.0,,,,,,,1.0,,,,3.0,South Central (West)
41,Arkansas,Cities,Decatur,1752.0,87.0,25.0,60.0,2.0,19,4.0,6.0,9.0,,,,,1.0,5.0,,1.0,,4.0,,,,1.0,,19.0,,9.0,,,4.0,,,4.0,,,22.0,,1.0,,7.0,,3.0,1.0,10.0,3.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,South Central (West)
42,Arkansas,Cities,De Queen,6708.0,418.0,72.0,285.0,61.0,62,16.0,41.0,5.0,,,,,4.0,6.0,3.0,,,3.0,,,,1.0,,56.0,16.0,19.0,,,12.0,,12.0,,,,171.0,1.0,4.0,27.0,20.0,2.0,9.0,,108.0,2.0,1.0,7.0,59.0,34.0,25.0,,,,,,,,,,2.0,South Central (West)
43,Arkansas,Cities,De Witt,3282.0,325.0,79.0,182.0,64.0,74,14.0,49.0,11.0,,,,,2.0,3.0,3.0,,,,,,,1.0,,32.0,9.0,37.0,,,6.0,2.0,4.0,,,,89.0,,,6.0,19.0,1.0,20.0,1.0,42.0,1.0,2.0,5.0,54.0,38.0,16.0,,,,,,,,,,10.0,South Central (West)
44,Arkansas,Cities,Diaz,1313.0,57.0,22.0,33.0,2.0,22,3.0,16.0,3.0,,,,,,,,,,,,,,,,11.0,,5.0,,,,,,,,,13.0,1.0,,,5.0,,1.0,1.0,5.0,3.0,,1.0,2.0,2.0,,,,,,,,,,,,South Central (West)
45,Arkansas,Cities,Dumas,4635.0,221.0,56.0,144.0,21.0,53,16.0,32.0,5.0,,,,,,3.0,3.0,,,,,,,1.0,,61.0,9.0,1.0,,,1.0,,1.0,,,,56.0,,,10.0,22.0,,12.0,1.0,11.0,9.0,5.0,1.0,12.0,11.0,1.0,,,,,,,,,,9.0,South Central (West)
46,Arkansas,Cities,Earle,2405.0,230.0,57.0,169.0,4.0,57,10.0,18.0,29.0,,,,,,,,,,,,,,5.0,,41.0,1.0,37.0,,,3.0,1.0,,2.0,,,78.0,,,3.0,1.0,,1.0,,73.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,South Central (West)
